::ffff:127.0.0.1 - - [14/Mar/2024:18:07:16 +0000] "GET /api/v1/get-room-by-id-or-slug-name/b504 HTTP/1.1" 500 142 "-" "axios/1.6.3"
::ffff:127.0.0.1 - - [14/Mar/2024:18:07:24 +0000] "GET /api/v1/all-rooms-list HTTP/1.1" 200 1363 "-" "axios/1.6.3"
::1 - - [14/Mar/2024:18:07:25 +0000] "GET /uploads/users/dp---copy-1706246826820.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:07:25 +0000] "GET /uploads/rooms/room-3-1706298968019.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:07:25 +0000] "GET /uploads/rooms/room-10-1706299171288.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [14/Mar/2024:18:11:07 +0000] "GET /api/v1/get-room-by-id-or-slug-name/b504 HTTP/1.1" 500 142 "-" "axios/1.6.3"
::ffff:127.0.0.1 - - [14/Mar/2024:18:11:22 +0000] "GET /api/v1/all-rooms-list HTTP/1.1" 200 1363 "-" "axios/1.6.3"
::1 - - [14/Mar/2024:18:11:23 +0000] "GET /uploads/users/dp---copy-1706246826820.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:11:23 +0000] "GET /uploads/rooms/room-3-1706298968019.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:11:23 +0000] "GET /uploads/rooms/room-10-1706299171288.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [14/Mar/2024:18:12:23 +0000] "GET /api/v1/all-rooms-list HTTP/1.1" 200 1363 "-" "axios/1.6.3"
::1 - - [14/Mar/2024:18:12:24 +0000] "GET /uploads/users/dp---copy-1706246826820.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:12:24 +0000] "GET /uploads/rooms/room-3-1706298968019.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:12:24 +0000] "GET /uploads/rooms/room-10-1706299171288.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [14/Mar/2024:18:12:42 +0000] "GET /api/v1/get-room-by-id-or-slug-name/65b40e5869da69dcd7a8e188 HTTP/1.1" 500 142 "-" "axios/1.6.3"
::1 - - [14/Mar/2024:18:15:30 +0000] "GET /uploads/rooms/room-3-1706298968019.jpeg HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:30 +0000] "OPTIONS /api/v1/get-room-by-id-or-slug-name/65b40e5869da69dcd7a8e188 HTTP/1.1" 200 0 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:30 +0000] "OPTIONS /api/v1/get-room-by-id-or-slug-name/65b40e5869da69dcd7a8e188 HTTP/1.1" 200 0 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
